Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Yaw,Pitch,Roll
0.0,0.1956130811732742,0.8601467038843892,2.4122206571911087,0.17198364510142786,-0.3083752411294401,0.5461981808341304,1.75701496190525,0.08678312015526023,-2.7210005349452207
0.002,0.19595704846347706,0.8595299534021303,2.413313053552777,0.1644535412536102,-0.31136214975804993,0.5088645645967047,1.7569418974931104,0.08659414415086532,-2.720324526839188
0.004,0.19628595554598427,0.8589072291026142,2.4143307826819704,0.156919697116825,-0.31434342640349094,0.4715571328920372,1.75679364267852,0.08622347285517698,-2.718968103246453
0.006,0.19659979494021793,0.8582785422498072,2.4152738969477543,0.14936738817002332,-0.3173179150137966,0.434276318687384,1.7565731685163397,0.08567124397825002,-2.7169315410238495
0.008,0.19689852971655797,0.8576439064197796,2.416142449585129,0.14179434863476625,-0.3202796265145203,0.3970514372054911,1.7562789765916662,0.08493512879337561,-2.7142143732794617
0.01,0.1971821184138275,0.8570033471667505,2.41693655245954,0.13415812976294164,-0.32323821749648507,0.35981850004097227,1.7559109853417652,0.08401808790692052,-2.7108166583081457
0.012,0.19745043467335338,0.8563568707317576,2.4176561894596222,0.12643829698858744,-0.32619461600907523,0.32256555223905864,1.755467929035587,0.0829218231808336,-2.7067375489712364
0.014,0.19770331126733057,0.8557044814997394,2.4183013205641,0.11863467702432379,-0.32914196597410633,0.28532718096882237,1.7549432927994,0.08163730584464736,-2.7019776675027187
0.016,0.1979405806213792,0.8550461975677912,2.418871974926038,0.11073596673256911,-0.33207750980352296,0.24811233881015426,1.7543350983410961,0.08016806034811291,-2.6965351355776237
0.018000000000000002,0.19816205255484434,0.8543820425481842,2.419368199603658,0.1027345051716245,-0.33499721751890166,0.2109379844165984,1.7536405796600023,0.07851615003544653,-2.690407911076304
0.020000000000000004,0.19836752156518758,0.8537120481131464,2.4197900755724913,0.09455500934271208,-0.33792134274863045,0.17367481809729346,1.7528560284819688,0.07668291778815325,-2.683597823740895
0.022000000000000006,0.19855663158387302,0.8530362054276491,2.420137425208686,0.08621331263654562,-0.3408367913734813,0.13639387357242405,1.751976137017369,0.07466598385760818,-2.676101777921232
0.024000000000000007,0.1987290582091461,0.8523545318449022,2.4204102129558307,0.07769757833844,-0.34374042788468184,0.09910585044778464,1.75100096556475,0.07247580454542066,-2.6679162184606
0.02600000000000001,0.19888445336582297,0.8516670509891328,2.4206084246567263,0.06903566437454436,-0.34661609621352946,0.06190227131467209,1.7499282417660385,0.07011856831858325,-2.6590399432709355
0.02800000000000001,0.19902252469457207,0.8509738187967057,2.4207322291993556,0.06019707283162293,-0.34946765579912265,0.024753494426107872,1.7487532498450968,0.06759642577177234,-2.6494773803611937
0.030000000000000013,0.19914291884023533,0.8502748834851075,2.420781736188208,0.05117816003565578,-0.3522900555230766,-0.012315753823763008,1.747469991744884,0.06491035786995673,-2.6392296774773474
0.032000000000000015,0.19924527516030663,0.8495703033740614,2.4207571046805607,0.0419694917849855,-0.35508021122957983,-0.049292919143395564,1.7460746320090619,0.06206607741652027,-2.6282991212477325
0.034000000000000016,0.1993292141438766,0.8488601429516022,2.420658518842274,0.0325317921756077,-0.35784392899656986,-0.08622066707740256,1.7445612147692173,0.059066143161922414,-2.6166852155203193
0.03600000000000002,0.19939427772822782,0.848144455093609,2.4204860775081194,0.022847440252644735,-0.36058003356311064,-0.1230987663472422,1.7429269036002268,0.05591901582407016,-2.604388363013192
0.03800000000000002,0.1994399726087331,0.8474232950264828,2.420239879975425,0.012901442588179438,-0.3632865621940376,-0.1599214864516005,1.741168012809954,0.052632455299321215,-2.591404726935812
0.04000000000000002,0.19946577549390948,0.8466967219020948,2.419920037002522,0.002713405589634118,-0.3659524714935684,-0.1966243403412185,1.739276366526466,0.0492077759586384,-2.577734629140826
0.04200000000000002,0.19947120230508875,0.8459648169591076,2.419526788321839,-0.007702009159472974,-0.3685688619438063,-0.2331557442903218,1.7372450532731176,0.04564862328494041,-2.5633791848930256
0.044000000000000025,0.1994557982867698,0.84522767923522,2.4190604768332586,-0.018394030947683628,-0.3711430083204784,-0.2695685846015917,1.7350669246491528,0.041959211192823746,-2.5483448246600786
0.04600000000000003,0.19941901022487443,0.8444853932185791,2.4185213396640552,-0.029393330131081905,-0.37367670392811364,-0.30588168432120005,1.732732689349446,0.03814001917792879,-2.5326284272734014
0.04800000000000003,0.19936022356461228,0.8437380398107228,2.417909576295413,-0.04068969674272453,-0.37616201101584207,-0.34205063956850934,1.730237849910403,0.03420053988027972,-2.5162236432163954
0.05000000000000003,0.19927884417112682,0.8429857157886911,2.417225475016276,-0.052257962029524097,-0.37858857984465255,-0.37801294190391493,1.7275760817184616,0.030148093245805235,-2.499128864793063
0.05200000000000003,0.19917432824706777,0.8422285386290018,2.416469449132468,-0.06412448326494763,-0.38095745121462493,-0.41378162407360214,1.7247403749627443,0.025990136797909943,-2.4813449590589
0.054000000000000034,0.19904607928053786,0.8414666237265725,2.4156418858843205,-0.07625733165827336,-0.3832581250350339,-0.44929079982241815,1.721721453443389,0.021731007894844744,-2.4628686162849758
0.056000000000000036,0.19889356461722132,0.8407001074765025,2.4147433042846758,-0.08870692063638316,-0.3854960514099626,-0.4845843601571896,1.7185136669142171,0.01738051314606968,-2.4437024377554337
0.05800000000000004,0.19871615077594856,0.8399291153736825,2.4137741355643616,-0.10145009465279362,-0.387663002310173,-0.5196110123819255,1.7151100530867283,0.012947234669304161,-2.423844936289468
0.06000000000000004,0.198513250586643,0.8391537893690622,2.4127349135395977,-0.11446797293715015,-0.38975235409430936,-0.554329012994458,1.7115084877690063,0.008445638298457474,-2.4032970780492544
0.06200000000000004,0.19828431464076868,0.8383742846608735,2.411626255513609,-0.1277813402442104,-0.3917643777464822,-0.5887445572424699,1.7077037053664479,0.003886662064377676,-2.382060880077302
0.06400000000000004,0.19802875196028025,0.8375907559053806,2.410448766399124,-0.1414158279993292,-0.3936996892376386,-0.622866984999627,1.7036894006014232,-0.0007195957593208013,-2.3601383109832286
0.06600000000000004,0.1977459203042816,0.8368033565269053,2.4092030324291245,-0.15529877807309778,-0.3955453271949889,-0.6566029776321168,1.6994585263553694,-0.005363685516648501,-2.337531477623947
0.06800000000000005,0.19743532274813538,0.8360122658725153,2.4078898264738604,-0.16950049505968676,-0.39730814099582695,-0.6900088652133973,1.695003985999113,-0.010035301738903176,-2.3142433260087696
0.07000000000000005,0.197096321758016,0.8352176495905237,2.406509808743434,-0.18394278896004373,-0.3989760919138039,-0.722994570068851,1.6903237369839825,-0.014720184192530041,-2.290275438492832
0.07200000000000005,0.19672843618009592,0.8344196974066961,2.405063819603296,-0.1986314115165887,-0.4005483259360976,-0.7555549930707903,1.6854123209220069,-0.019406057853315232,-2.2656336512925144
0.07400000000000005,0.19633117335706274,0.8336186007548239,2.4035527096171543,-0.2135769187164904,-0.4020243844874803,-0.787688703566977,1.6802673421600842,-0.02407783419105134,-2.2403234092834006
0.07600000000000005,0.19590401951962977,0.8328145519858489,2.4019773322100204,-0.2288205477373637,-0.4034064501603016,-0.819417580234265,1.6748764599662191,-0.028728779281799902,-2.214349703050512
0.07800000000000006,0.19544637842415505,0.8320077390855283,2.400338497049552,-0.24434033329537053,-0.4046903312339591,-0.8507109226848963,1.6692319238908382,-0.03334854463488556,-2.1877154665705003
0.08000000000000006,0.1949576977575643,0.8311983584230603,2.398637075204182,-0.26017537003278207,-0.4058768678841245,-0.8815842868483866,1.6633215416595934,-0.037928081282148134,-2.1604221525291822
0.08200000000000006,0.19443734701749874,0.8303866046872921,2.396873906630485,-0.2762294526648892,-0.4069567215605149,-0.911957758659853,1.6571346074024436,-0.04245633849140561,-2.1324742746334064
0.08400000000000006,0.19388488811216895,0.8295726912441711,2.3950499911131655,-0.29257283747330814,-0.40793252170854644,-0.9418678400691674,1.650665087946927,-0.04691831890970426,-2.10387936791881
0.08600000000000006,0.19329974243722234,0.828756826200754,2.393166255433027,-0.309190894083366,-0.40880079095501975,-0.9712924055004839,1.6439120046393971,-0.05129708813693026,-2.0746443258223843
0.08800000000000006,0.1926813606490556,0.827939224618844,2.391223670622026,-0.326130588638062,-0.40956113154556667,-1.000244797240849,1.6368730726419956,-0.05557517665173474,-2.044778084320368
0.09000000000000007,0.19202909947177949,0.8271201023557528,2.3892231810275444,-0.3433630965002227,-0.4102092047514864,-1.0286938272571224,1.6295411375151805,-0.05973759697190052,-2.0142903377232844
0.09200000000000007,0.19134237327877904,0.8262996839462499,2.38716579337303,-0.36089467558941907,-0.4107421637773353,-1.056627950169687,1.6219161410555094,-0.06376525800807041,-1.9831857618984459
0.09400000000000007,0.1906205839276002,0.8254781996186952,2.3850525374726907,-0.3787794291743977,-0.41115806331512667,-1.0840552590884678,1.6139963091877754,-0.06764022603964441,-1.9514777510732102
0.09600000000000007,0.1898630250692514,0.8246558834920649,2.3828844269545137,-0.39700960331333557,-0.4114526409339815,-1.110952635736558,1.605789092022898,-0.07134099398200107,-1.9191786893692215
0.09800000000000007,0.18906900586262473,0.8238329782101969,2.380662521683041,-0.4155136599785402,-0.4116212125267815,-1.1372741800063,1.5972949763489468,-0.07484892520889143,-1.8863025289843187
